county,census_geoid,sum_new_houses,pop_2000,new_housing_rate
Cape May,34009,21105,102326,20.625256533041455
Ocean,34029,46396,510916,9.080944812845946
Gloucester,34015,22356,254673,8.778315722514755
Atlantic,34001,20706,252552,8.198707592891761
Hudson,34017,37775,608975,6.203046102056735
Warren,34041,4986,102437,4.867381903023322
Burlington,34005,20315,423394,4.798131291421229
Somerset,34035,13727,297490,4.61427274866382
Monmouth,34025,28303,615301,4.599862506318046
Sussex,34037,6219,144166,4.313777173536063
Cumberland,34011,5975,146438,4.080225078190088
Middlesex,34023,29100,750162,3.8791621009861865
Hunterdon,34019,4718,121989,3.8675618293452687
Mercer,34021,12544,350761,3.576224266665906
Morris,34027,15719,470212,3.3429601966772435
Camden,34007,11661,508932,2.2912687746103604
Salem,34033,1463,64285,2.2758030644784943
Bergen,34003,19557,884118,2.2120350450957904
Essex,34013,15342,793633,1.933135340894343
Passaic,34031,9274,489049,1.8963334962345284
Union,34039,9734,522541,1.8628203337154405
