year,county,county_code,region,sum_new_houses,sum_sales_price,avg_sales_price,med_sales_price,avg_sales_price_rank,med_sales_price_rank,census_geoid
2000,Atlantic,001,South,1178,212606490,180480.89134125636,162133,19,19,34001
2000,Bergen,003,North,1006,485061316,482168.3061630219,423630,1,1,34003
2000,Burlington,005,South,2263,562033230,248357.59169244365,218466,13,13,34005
2000,Camden,007,South,775,136660606,176336.2658064516,159600,20,20,34007
2000,Cape May,009,South,1076,360139083,334701.75,285000,6,7,34009
2000,Cumberland,011,South,292,34364804,117687.68493150685,103190,21,21,34011
2000,Essex,013,North,868,213727051,246229.32142857142,194760,14,14,34013
2000,Gloucester,015,South,1452,282446443,194522.34366391186,182556,17,17,34015
2000,Hudson,017,North,810,250161549,308841.4185185185,289900,7,6,34017
2000,Hunterdon,019,Central,609,234919387,385746.1198686371,374900,4,2,34019
2000,Mercer,021,Central,1350,390024476,288907.0192592593,227890,8,12,34021
2000,Middlesex,023,Central,2011,565701135,281303.39880656387,279180,9,8,34023
2000,Monmouth,025,Central,2060,750998564,364562.40970873786,325990,5,4,34025
2000,Morris,027,North,1378,533974679,387499.76705370104,318223,3,5,34027
2000,Ocean,029,Central,3818,804637031,210748.30565741225,192138,16,15,34029
2000,Passaic,031,North,515,132769737,257805.3145631068,229900,11,10,34031
2000,Salem,033,South,89,16227227,182328.39325842698,164775,18,18,34033
2000,Somerset,035,Central,1586,660817054,416656.4022698613,367759,2,3,34035
2000,Sussex,037,North,515,140184197,272202.32427184464,245068,10,9,34037
2000,Union,039,North,551,139530255,253230.95281306715,186144,12,16,34039
2000,Warren,041,North,856,199578666,233152.64719626168,228382,15,11,34041
2001,Atlantic,001,South,1306,270449313,207082,180995,18,19,34001
2001,Bergen,003,North,1055,566840916,537290,452900,1,1,34003
2001,Burlington,005,South,2024,541335711,267458,245325,13,13,34005
2001,Camden,007,South,731,148801258,203558,184900,19,18,34007
2001,Cape May,009,South,1126,369294636,327970,280000,6,7,34009
2001,Cumberland,011,South,213,32930101,154601,135993,21,21,34011
2001,Essex,013,North,975,273425197,280436,257696,11,11,34013
2001,Gloucester,015,South,1412,295909169,209567,194691,17,17,34015
2001,Hudson,017,North,571,155611517,272525,275000,12,9,34017
2001,Hunterdon,019,Central,544,217920977,400590,369967,3,3,34019
2001,Mercer,021,Central,1203,352907962,293357,256690,10,12,34021
2001,Middlesex,023,Central,1857,587192654,316205,320321,7,5,34023
2001,Monmouth,025,Central,1937,746269602,385271,341821,5,4,34025
2001,Morris,027,North,1581,615886298,389555,306900,4,6,34027
2001,Ocean,029,Central,3469,848913171,244714,225000,16,15,34029
2001,Passaic,031,North,530,161779458,305244,275399,8,8,34031
2001,Salem,033,South,96,19313799,201185,216849,20,16,34033
2001,Somerset,035,Central,963,495267297,514296,435960,2,2,34035
2001,Sussex,037,North,576,171474777,297699,260750,9,10,34037
2001,Union,039,North,422,106882850,253277,175943,14,20,34039
2001,Warren,041,North,681,169882722,249461,231116,15,14,34041
2002,Atlantic,001,South,1593,352943787,221559,204642,19,16,34001
2002,Bergen,003,North,1122,637249934,567959,478000,1,1,34003
2002,Burlington,005,South,2340,658058923,281222,255859,14,14,34005
